学号,专业,生源所在地,性别,学位性质,民族,政治面貌,出入日期,年级,分数1,分数2,分数3
1,法学,陕西省,男,本科,汉族,共青团员,19861013 ,2005,98,73,77
2,法学,云南省,男,本科,汉族,共青团员,19850810 ,2005,54,89,89
3,法学,山东省,男,本科,汉族,共青团员,19851022 ,2005,79,60,89
4,法学,河南省,男,本科,汉族,共青团员,19871020 ,2005,69,67,67
5,法学,辽宁省,男,本科,满族,共青团员,19860325 ,2005,68,62,90
6,法学,四川省,男,本科,汉族,共青团员,19861006 ,2005,96,89,70
7,法学,北京市,男,本科,汉族,共青团员,19861125 ,2005,77,88,67
8,法学,广东省,男,本科,汉族,共青团员,19870621 ,2005,89,76,90
9,法学,吉林省,男,本科,汉族,共青团员,19850502 ,2005,76,57,78
10,法学,湖南省,男,本科,汉族,共青团员,19870809 ,2005,79,77,90
11,法学,青海省,男,本科,汉族,共青团员,19860509 ,2005,92,62,75
12,法学,湖北省,男,本科,汉族,共青团员,19851004 ,2005,65,89,81
13,法学,江苏省,男,本科,汉族,共青团员,19880726 ,2005,86,69,83
14,法学,福建省,男,本科,汉族,共青团员,19881108 ,2005,57,68,81
15,法学,云南省,男,本科,彝族,共青团员,19860912 ,2005,79,69,79
16,法学,浙江省,男,本科,汉族,共青团员,19861024 ,2005,68,93,72
17,法学,北京市,男,本科,汉族,共青团员,19851125 ,2005,71,86,70
18,法学,甘肃省,男,本科,藏族,共青团员,19860707 ,2005,64,72,84
19,法学,河北省,男,本科,汉族,共青团员,19860121 ,2005,76,67,80
20,法学,黑龙江省,女,本科,汉族,共青团员,19861029 ,2005,91,83,85
21,法学,北京市,女,本科,汉族,共青团员,19860730 ,2005,89,67,74
22,法学,浙江省,女,本科,汉族,共青团员,19861020 ,2005,56,79,69
23,法学,云南省,女,本科,纳西族,共青团员,19851217 ,2005,77,63,93
24,法学,北京市,女,本科,汉族,共青团员,19860925 ,2005,80,94,75
25,法学,内蒙古自治区,女,本科,汉族,共青团员,19860425 ,2005,91,60,84
26,法学,吉林省,女,本科,汉族,共青团员,19870919 ,2005,80,93,90
27,法学,甘肃省,女,本科,藏族,共青团员,19841012 ,2005,96,85,69
28,法学,山西省,女,本科,汉族,共青团员,19861020 ,2005,80,84,80
29,法学,广东省,女,本科,汉族,共青团员,19860616 ,2005,62,65,94
30,法学,广东省,女,本科,汉族,共青团员,19860815 ,2005,59,58,66
31,法学,江苏省,女,本科,汉族,共青团员,19880723 ,2005,97,83,87
32,法学,辽宁省,女,本科,汉族,共青团员,19850326 ,2005,67,77,88
33,法学,湖南省,女,本科,汉族,共青团员,19870914 ,2005,76,70,88
34,法学,北京市,女,本科,汉族,共青团员,19851015 ,2005,61,72,91
35,法学,河南省,女,本科,汉族,共青团员,19891014 ,2005,79,70,86
36,法学,湖北省,女,本科,汉族,共青团员,19860610 ,2005,72,95,70
37,法学,山东省,女,本科,汉族,共青团员,19870710 ,2005,54,56,74
38,法学,贵州省,女,本科,汉族,共青团员,19870507 ,2005,75,74,94
39,法学,云南省,女,本科,汉族,共青团员,19880702 ,2005,79,83,86
40,法学,天津市,女,本科,汉族,共青团员,19861012 ,2005,79,86,90
41,法学,湖南省,女,本科,侗族,共青团员,19850420 ,2005,72,78,68
42,法学,北京市,女,本科,汉族,共青团员,19870604 ,2005,77,75,79
43,法学,四川省,女,本科,汉族,共青团员,19870202 ,2005,59,60,74
44,法学,四川省,男,本科,汉族,共青团员,19861009 ,2005,65,83,93
45,法学,陕西省,男,本科,汉族,中共党员,19830117 ,2005,74,73,73
46,法学,江苏省,男,本科,汉族,共青团员,19870527 ,2005,60,62,73
47,法学,湖北省,男,本科,汉族,共青团员,19870530 ,2005,82,69,93
48,法学,云南省,男,本科,哈尼族,共青团员,19870219 ,2005,81,57,89
49,法学,福建省,男,本科,汉族,群众,19870625 ,2005,55,67,80
50,法学,云南省,男,本科,回族,共青团员,19851125 ,2005,79,58,89
51,法学,广东省,男,本科,汉族,中共党员,19861124 ,2005,81,58,68
52,法学,北京市,男,本科,汉族,共青团员,19851212 ,2005,98,85,65
53,法学,河北省,男,本科,汉族,共青团员,19861106 ,2005,80,63,77
54,法学,山东省,男,本科,汉族,共青团员,19870305 ,2005,51,67,78
55,法学,河南省,男,本科,满族,共青团员,19861129 ,2005,66,95,68
56,法学,河南省,男,本科,汉族,共青团员,19850112 ,2005,86,80,90
57,法学,北京市,男,本科,汉族,共青团员,19870310 ,2005,61,76,77
58,法学,山东省,男,本科,汉族,共青团员,19860812 ,2005,81,91,71
59,法学,辽宁省,男,本科,汉族,共青团员,19860901 ,2005,53,75,79
60,法学,吉林省,男,本科,汉族,共青团员,19870320 ,2005,56,66,95
61,法学,重庆市,男,本科,汉族,共青团员,19861222 ,2005,97,93,90
62,法学,湖南省,男,本科,汉族,共青团员,19870308 ,2005,53,70,81
63,法学,四川省,女,本科,藏族,共青团员,19860324 ,2005,96,58,78
64,法学,四川省,女,本科,汉族,共青团员,19861003 ,2005,63,58,77
65,法学,湖南省,女,本科,汉族,共青团员,19871129 ,2005,92,71,77
66,法学,山东省,女,本科,汉族,共青团员,19880601 ,2005,64,65,82
67,法学,甘肃省,女,本科,满族,共青团员,19861225 ,2005,71,92,88
68,法学,浙江省,女,本科,汉族,共青团员,19870323 ,2005,79,91,85
69,法学,北京市,女,本科,汉族,共青团员,19870226 ,2005,87,93,66
70,法学,河南省,女,本科,汉族,共青团员,19861016 ,2005,79,59,84
71,法学,湖北省,女,本科,土家族,共青团员,19860521 ,2005,68,63,85
72,法学,辽宁省,女,本科,汉族,共青团员,19860418 ,2005,51,69,68
