author,duanzi
"
中国加油！！
","


今天接到前女友的结婚消息，邀请我去参加，我也没多想就答应了。于是去找老板请假，说明了原因，老板跟慷慨就批准了，说:“这种事必须去，咱们公司也是大公司，你这个婚礼绝对不能给公司丢脸，刚好咱们是卖车的，你就随便开一辆去撑撑场面。就开这辆40w的吧。”我看着老板没说话，老板皱着眉头说:“怎么，不够档次么，那开这辆80w的。” 我默默的回话老板:“老板，谢谢你的好意，我是想请个假而已！” “怎么，还不行么，那行，就开最里面那辆去，180w，不要跟我客气，你在公司也是老员工了。” “老板，咱不闹行不，咱们
…
查看全文"
author,duanzi
"
油腻哥
","


疫情期间，店也关门了，闲着没事，就找了个工作干着，因为以前在一家很大的外贸公司干过，于是就应聘上了一家外贸公司的仓库主管，公司采购部有个小姐姐相当漂亮，公司的同事都叫她十三姨，一直不懂为啥这么叫，后面慢慢熟悉了，一起吃饭的时候忍不住好奇的问了问，她告诉我是因为她男朋友，光被她发现了的前女友就有十二个，于是一生气就把自己微信名改成了十三姨，最不可思议的是她男朋友也是公司的，矮矮瘦瘦的，我跟他见面最多的地方就是公司吸烟室，那货经常一边吸烟，一边扯脚皮

"
"
《龙妹妹》
","


小时候的民风就是淳朴，那天隔壁胖婶给她自己孩子香油烤橘子，被正巧经过的我通通吃了。这一幕又正巧被我大姑看见，以为我生病了，第二天买了好多零食来看我，把我乐的……龙妹妹醒醒，你做啥美梦呢？看看你嘴角的哈喇子。我看看四周，我的零食呢？这该打的龙哥哥又把我的美梦给搅黄了。

"
"
捉女妖的天师
","


痒痒树为什么怕痒？我特意去搜了一下，人家本名叫紫薇[我考虑下]原来是这么多人对着人家耍牛忙，还说人家怕痒[笑哭]

"
"
王八与蛋
","


外地姑姑来我家探亲，把断了两天的粽子给…续…上…了…

"
"
逍遥花落人不知
","


昨天去我三舅家溜达，我表哥说他们两口子赶集去让我哄孩子，我为了哄孩子买了三袋儿小气球。一个小气球平均玩不到五分钟就碎了，而且三袋儿小气球没到半天就全部吹碎了，好不容易他们回来后吃了午饭我就回家了。到家后我眼睛和腮帮子疼，我老爸看着我说：“哎呀半天没见你这眼睛瞪着，腮帮子鼓着怎么你要现原形呀[捂脸]

"
"
自己的蛋自己疼
","


老婆经常埋怨我，什么事都不放在心上。，有时候面对别人的指责，也不怎么生气。我辩解道，。这叫大智若愚，老婆冷笑一声。哼哼，从来只看到若愚，你倒让我见识见识你的大智呀。

"
"
忧郁的创可贴
","


二十八岁了，还待嫁闺中，父母时常唠叨。今天吃早餐的时候，又被父母一顿说，我赌气拿起包就去上班了。下班的时候，觉得父母也是为我好，于是在路上给他俩买了一些小礼物。刚到村口，看见父母在菜地里干活，我连忙停下，把礼物送上。收下礼物后，父母仍是一副不开心的样子，我撒娇道：爸，妈，收到女儿的礼物，你们不应该开心嘛？他俩对瞅了一眼，然后指着菜地异口同声叹了一口气：唉，你看，辛辛苦苦种的白菜，都快烂地里了，我俩怎么开心的起来啊？

"
